B,2019-12-31,,,,BBB1,176,C_000001,C_000001,,,2,GAS 90,1.838,10.5847457627,12.49,19.4576271186,3.5023728814,22.96,,,,,,,GLL
B,2019-12-31,,,,BBB1,177,C_000001,C_000001,,,2,GAS 90,8.006,10.5847457627,12.49,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,178,C_000001,C_000001,,,2,GAS 90,24.019,10.5847457627,12.49,25.4237288136,4.5762711864,30,,,,,,,GLL
B,2019-12-31,,,,BBB1,179,C_000001,C_000001,,,3,GAS 95,21.914,11.6016949153,13.69,25.4237288136,4.5762711864,30,,,,,,,GLL
B,2019-12-31,,,,BBB1,180,C_000001,C_000001,,,2,GAS 90,1.601,10.5847457627,12.49,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,181,C_000001,C_000001,,,3,GAS 95,7.305,11.6016949153,13.69,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,182,C_000001,C_000001,,,3,GAS 95,21.914,11.6016949153,13.69,25.4237288136,4.5762711864,30,,,,,,,GLL
B,2019-12-31,,,,BBB1,183,C_000001,C_000001,,,2,GAS 90,1.601,10.5847457627,12.49,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,184,C_000001,C_000001,,,3,GAS 95,7.305,11.6016949153,13.69,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,185,C_000001,C_000001,,,2,GAS 90,6.405,10.5847457627,12.49,6.7796610169,1.2203389831,8,,,,,,,GLL
B,2019-12-31,,,,BBB1,186,C_000001,C_000001,,,2,GAS 90,0.801,10.5847457627,12.49,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,187,C_000001,C_000001,,,2,GAS 90,1.601,10.5847457627,12.49,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,188,C_000001,C_000001,,,2,GAS 90,0.801,10.5847457627,12.49,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,189,C_000001,C_000001,,,2,GAS 90,5.604,10.5847457627,12.49,5.9322033898,1.0677966102,7,,,,,,,GLL
B,2019-12-31,,,,BBB1,190,C_000001,C_000001,,,2,GAS 90,16.013,10.5847457627,12.49,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,191,C_000001,C_000001,,,2,GAS 90,16.013,10.5847457627,12.49,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,192,C_000001,C_000001,,,2,GAS 90,24.019,10.5847457627,12.49,25.4237288136,4.5762711864,30,,,,,,,GLL
B,2019-12-31,,,,BBB1,193,C_000001,C_000001,,,3,GAS 95,1.461,11.6016949153,13.69,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,194,C_000001,C_000001,,,3,GAS 95,2.922,11.6016949153,13.69,33.8983050847,6.1016949153,40,,,,,,,GLL
B,2019-12-31,,,,BBB1,195,C_000001,C_000001,,,2,GAS 90,4.003,10.5847457627,12.49,42.3728813559,7.6271186441,50,,,,,,,GLL
B,2019-12-31,,,,BBB1,196,C_000001,C_000001,,,3,GAS 95,2.922,11.6016949153,13.69,33.8983050847,6.1016949153,40,,,,,,,GLL
B,2019-12-31,,,,BBB1,197,C_000001,C_000001,,,3,GAS 95,2.922,11.6016949153,13.69,33.8983050847,6.1016949153,40,,,,,,,GLL
B,2019-12-31,,,,BBB1,198,C_000001,C_000001,,,3,GAS 95,1.461,11.6016949153,13.69,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,199,C_000001,C_000001,,,2,GAS 90,0.801,10.5847457627,12.49,8.4745762712,1.5254237288,10,,,,,,,GLL
